2019-05-24 15:20:41.291 INFO  singlejartest.Main - Connecting...
2019-05-24 15:20:41.934 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - environment(jnlp.client.mode)=DEMO, platformInstanceId=null
2019-05-24 15:20:41.952 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 1 request [4B7C1B7F692F29989E8B2B1101D9E79E474A5C63]
2019-05-24 15:20:41.955 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - >> [https://login.dukascopy.com/authorization-1/demo/auth?munus=srp_api&passus=1&sermo=0af9dbc9-372e-4c65-8be5-d589eb967c15&putent_genus=0&appello=4B7C1B7F692F29989E8B2B1101D9E79E474A5C63&srp_versio=1]
2019-05-24 15:20:44.075 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - << [{"B":"5478dd939186b6f9f3c3d3a8d8eecd187a52b3e3951e59c3787c7c79eb14890bf3216e323140261022d1d9ca8a5e9d8b2a256d395fee2344417ef7dc87348b198792cf252e3378758a39508c5556c763ee3b971b2884927af54d41014fbb4762331407917929b91627147ff0e5c128b90d2e991d73af4fa600697afab52ac4bf561ee7e10da3e717061d7199761e7109304fddf1e3fa742fa7601205bab742f5720b3e6326a74fceb81cbc902ec44b88c62210b0c3d5b23c00a9d5cce9ca1262730310bef5a5fb8c7c09df4129d4ca519fb41b5d7101d35a88c4c36efb18fade3e210f1080ec07ebe454fa70b8022f776ef6c83ce1564c5d24025140e5e1290b","S":"482cf628a5747b13f312eba5c5e82da9","G":"2","H":"SHA-256","K":"5b9e8ef059c6b32ea59fc1d322d37f04aa30bae5aa9003b8321e21ddb04e300","N":"ac6bdb41324a9a9bf166de5e1389582faf72b6651987ee07fc3192943db56050a37329cbb4a099ed8193e0757767a13dd52312ab4b03310dcd7f48a9da04fd50e8083969edb767b0cf6095179a163ab3661a05fbd5faaae82918a9962f0b93b855f97993ec975eeaa80d740adbf4ff747359d041d5c33ea71d281e446b14773bca97b43a23fb801676bd207a436c6481f1d2b9078717461a5b9d32e688f87748544523b524b0d57d5ea77a2775d2ecfa032cfbdbf52fb3786160279004e57ae6af874e7303ce53299ccc041c7bc308d82a5698f3a8d0c38271ae35f8e9dbfbb694b5c803d89f7ae435de236d525f54759b65e372fcd68ef20fa7111f9e4aff73","srp_versio":"1"}]
2019-05-24 15:20:44.076 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 1 response [ServerResponseObject [passwordServerResponse=Step1ServerResponse [serverPublicValueB=5478dd939186b6f9f3c3d3a8d8eecd187a52b3e3951e59c3787c7c79eb14890bf3216e323140261022d1d9ca8a5e9d8b2a256d395fee2344417ef7dc87348b198792cf252e3378758a39508c5556c763ee3b971b2884927af54d41014fbb4762331407917929b91627147ff0e5c128b90d2e991d73af4fa600697afab52ac4bf561ee7e10da3e717061d7199761e7109304fddf1e3fa742fa7601205bab742f5720b3e6326a74fceb81cbc902ec44b88c62210b0c3d5b23c00a9d5cce9ca1262730310bef5a5fb8c7c09df4129d4ca519fb41b5d7101d35a88c4c36efb18fade3e210f1080ec07ebe454fa70b8022f776ef6c83ce1564c5d24025140e5e1290b, saltS=482cf628a5747b13f312eba5c5e82da9, safePrimeN=ac6bdb41324a9a9bf166de5e1389582faf72b6651987ee07fc3192943db56050a37329cbb4a099ed8193e0757767a13dd52312ab4b03310dcd7f48a9da04fd50e8083969edb767b0cf6095179a163ab3661a05fbd5faaae82918a9962f0b93b855f97993ec975eeaa80d740adbf4ff747359d041d5c33ea71d281e446b14773bca97b43a23fb801676bd207a436c6481f1d2b9078717461a5b9d32e688f87748544523b524b0d57d5ea77a2775d2ecfa032cfbdbf52fb3786160279004e57ae6af874e7303ce53299ccc041c7bc308d82a5698f3a8d0c38271ae35f8e9dbfbb694b5c803d89f7ae435de236d525f54759b65e372fcd68ef20fa7111f9e4aff73, correspondingGeneratorG=2, hashAlgorithmH=SHA-256, srpProtocolVersion=1], ]]
2019-05-24 15:20:44.116 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 2 request A [10592900725370241378855074943711873129004798608449760513854294627476544989564114733431892878522346947799012367917717744652382278533866219906486453821408550972918820173906689736823554686078117360561711433363704220924862236393788526736171439678572261354799888236633549279299596958833416875503740207561384568721186437815600536969409414583640019401867762804286740054926203226221608972325583655080329501054867397796831039695776070133571673508901956491134416045625159746220902828336864376314225755560495433332940743160472611470653086578746330004795571128630505569019590001175290275591200192880828780657830516740002718679370], M1 [41893948628248405846739367112998671650339016965438106648630279651413825495494]
2019-05-24 15:20:44.116 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - >> [https://login.dukascopy.com/authorization-1/demo/auth?munus=srp_api&testimonium_nuntius=5c9f227748e9dcfa43471425ea5e9dc846abc23fa35a09280aeb66e0fd1921c6&passus=2&publicus_pendo=53e974b84a2c3409e7498df0d90284a137471628ce418a9a146627f7c1b32a3647360b8c150fea8fad426de1428093cc4f9b7e7af93c651f88490fa5546005a1a720cced374c8d627443616aeb7ff76ad92ce114205e6587978cc70ca6297f39622d379dc05c0b044f103b106816cd92e13173feab5f8826bffec341df5b5cb92d7cdc9e7bb1e934d1c169d41cda745ce14e8a2f1f84b9c682d9a9d092c994ec5c986cd1218e7d19c90da1e54f7af80cccfe1c7171f5b5ae8d1254e347cf3dd779bbca618a0325083f29544a274fd356f4cfbcd5199423ae422cf1f4a908623a407d5e26b263cad0e8f92d1f90fba5e2810fbd75e8321cfa12e78f556a20014a&sermo=0af9dbc9-372e-4c65-8be5-d589eb967c15&putent_genus=0&srp_versio=1]
2019-05-24 15:20:45.406 DEBUG com.dukascopy.api.impl.connect.AuthorizationClient - << [{"M2":"f7eb4a53a824550dd755ce783343b56033789d8689a31f1dae981189b07d8c79","srp_versio":"1"}]
2019-05-24 15:20:45.406 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 2 response [ServerResponseObject [passwordServerResponse=Step2ServerResponse [serverEvidenceMessageM2=f7eb4a53a824550dd755ce783343b56033789d8689a31f1dae981189b07d8c79, srpProtocolVersion=1], ]]
2019-05-24 15:20:45.407 INFO  com.dukascopy.api.impl.connect.AuthorizationClient - Auth step 3 request
